name,rank,count,pct
ROSE,177,"153,397",0.001269
STONE,178,"153,329",0.001269
SALAZAR,179,"152,703",0.001264
FOX,180,"152,334",0.001261
WARREN,181,"152,147",0.001259
MILLS,182,"151,942",0.001257
MEYER,183,"150,895",0.001249
RICE,184,"149,500",0.001237
SCHMIDT,185,"147,034",0.001217
GARZA,186,"147,005",0.001216
DANIELS,187,"146,570",0.001213
FERGUSON,188,"146,426",0.001212
NICHOLS,189,"145,584",0.001205
STEPHENS,190,"144,646",0.001197
SOTO,191,"144,451",0.001195
WEAVER,192,"143,837",0.001190
RYAN,193,"143,452",0.001187
GARDNER,194,"142,894",0.001182
PAYNE,195,"142,601",0.001180
GRANT,196,"142,277",0.001177
DUNN,197,"141,427",0.001170
KELLEY,198,"140,693",0.001164
SPENCER,199,"139,951",0.001158
HAWKINS,200,"139,751",0.001156
ARNOLD,201,"138,893",0.001149
PIERCE,202,"138,629",0.001147
VAZQUEZ,203,"138,322",0.001145
HANSEN,204,"137,977",0.001142
PETERS,205,"137,513",0.001138
SANTOS,206,"137,232",0.001136
HART,207,"137,184",0.001135
BRADLEY,208,"136,720",0.001131
KNIGHT,209,"136,713",0.001131
ELLIOTT,210,"135,765",0.001123
CUNNINGHAM,211,"135,718",0.001123
DUNCAN,212,"135,187",0.001119
ARMSTRONG,213,"135,044",0.001117
HUDSON,214,"134,963",0.001117
CARROLL,215,"134,317",0.001111
LANE,216,"134,227",0.001111
RILEY,217,"133,872",0.001108
ANDREWS,218,"133,799",0.001107
ALVARADO,219,"133,501",0.001105
RAY,220,"133,171",0.001102
DELGADO,221,"132,985",0.001100
BERRY,222,"132,812",0.001099
PERKINS,223,"131,440",0.001088
HOFFMAN,224,"131,401",0.001087
JOHNSTON,225,"131,373",0.001087
MATTHEWS,226,"131,303",0.001087
PENA,227,"130,776",0.001082
RICHARDS,228,"130,529",0.001080
CONTRERAS,229,"130,164",0.001077
WILLIS,230,"130,152",0.001077
CARPENTER,231,"129,898",0.001075
LAWRENCE,232,"129,699",0.001073
SANDOVAL,233,"128,948",0.001067
GUERRERO,234,"128,677",0.001065
GEORGE,235,"128,625",0.001064
CHAPMAN,236,"127,939",0.001059
RIOS,237,"127,794",0.001057
ESTRADA,238,"127,470",0.001055
ORTEGA,239,"127,256",0.001053
WATKINS,240,"127,083",0.001052
GREENE,241,"126,101",0.001043
NUNEZ,242,"125,350",0.001037
WHEELER,243,"125,058",0.001035
VALDEZ,244,"124,995",0.001034
HARPER,245,"124,461",0.001030
BURKE,246,"122,877",0.001017
LARSON,247,"122,587",0.001014
SANTIAGO,248,"122,212",0.001011
MALDONADO,249,"121,526",0.001006
MORRISON,250,"121,130",0.001002
FRANKLIN,251,"120,621",0.000998
CARLSON,252,"120,552",0.000998
AUSTIN,253,"119,706",0.000991
DOMINGUEZ,254,"119,304",0.000987
CARR,255,"119,076",0.000985
LAWSON,256,"119,053",0.000985
JACOBS,257,"118,614",0.000982
OBRIEN,258,"118,557",0.000981
LYNCH,259,"117,708",0.000974
SINGH,260,"116,749",0.000966
VEGA,261,"116,673",0.000965
BISHOP,262,"116,618",0.000965
MONTGOMERY,263,"115,953",0.000959
OLIVER,264,"115,900",0.000959
JENSEN,265,"115,679",0.000957
HARVEY,266,"115,662",0.000957
WILLIAMSON,267,"114,959",0.000951
GILBERT,268,"114,940",0.000951
DEAN,269,"114,030",0.000944
SIMS,270,"113,374",0.000938
ESPINOZA,271,"112,154",0.000928
HOWELL,272,"112,041",0.000927
LI,273,"111,786",0.000925
WONG,274,"111,371",0.000922
REID,275,"111,360",0.000921
HANSON,276,"111,144",0.000920
LE,277,"110,967",0.000918
MCCOY,278,"110,744",0.000916
GARRETT,279,"110,697",0.000916
BURTON,280,"110,529",0.000915
FULLER,281,"110,116",0.000911
WANG,282,"109,883",0.000909
WEBER,283,"109,433",0.000906
WELCH,284,"108,987",0.000902
ROJAS,285,"108,421",0.000897
LUCAS,286,"107,690",0.000891
MARQUEZ,287,"107,533",0.000890
FIELDS,288,"107,522",0.000890
PARK,289,"106,696",0.000883
YANG,290,"106,033",0.000877
LITTLE,291,"105,936",0.000877
BANKS,292,"105,833",0.000876
PADILLA,293,"105,365",0.000872
DAY,294,"105,091",0.000870
WALSH,295,"105,079",0.000870
BOWMAN,296,"105,007",0.000869
SCHULTZ,297,"104,888",0.000868
LUNA,298,"104,518",0.000865
FOWLER,299,"104,515",0.000865
MEJIA,300,"104,057",0.000861
DAVIDSON,301,"103,930",0.000860
ACOSTA,302,"103,418",0.000856
BREWER,303,"103,318",0.000855
MAY,304,"103,306",0.000855
HOLLAND,305,"102,538",0.000848
JUAREZ,306,"101,949",0.000844
NEWMAN,307,"101,931",0.000843
PEARSON,308,"101,836",0.000843
CURTIS,309,"101,801",0.000842
CORTEZ,310,"101,694",0.000842
DOUGLAS,311,"101,458",0.000840
SCHNEIDER,312,"101,290",0.000838
JOSEPH,313,"100,959",0.000835
BARRETT,314,"100,104",0.000828
NAVARRO,315,"99,807",0.000826
FIGUEROA,316,"98,468",0.000815
KELLER,317,"98,268",0.000813
AVILA,318,"97,314",0.000805
WADE,319,"97,040",0.000803
MOLINA,320,"96,979",0.000802
STANLEY,321,"96,867",0.000802
HOPKINS,322,"96,810",0.000801
CAMPOS,323,"96,111",0.000795
BARNETT,324,"95,681",0.000792
BATES,325,"95,622",0.000791
CHAMBERS,326,"94,988",0.000786
CALDWELL,327,"93,944",0.000777
BECK,328,"93,786",0.000776
LAMBERT,329,"93,678",0.000775
MIRANDA,330,"93,628",0.000775
BYRD,331,"92,904",0.000769
CRAIG,332,"92,507",0.000765
AYALA,333,"92,463",0.000765
LOWE,334,"92,260",0.000763
FRAZIER,335,"92,152",0.000763
POWERS,336,"91,970",0.000761
NEAL,337,"91,694",0.000759
LEONARD,338,"91,475",0.000757
GREGORY,339,"91,384",0.000756
CARRILLO,340,"91,129",0.000754
SUTTON,341,"90,964",0.000753
FLEMING,342,"90,677",0.000750
RHODES,343,"90,670",0.000750
SHELTON,344,"90,517",0.000749
SCHWARTZ,345,"90,071",0.000745
NORRIS,346,"89,796",0.000743
JENNINGS,347,"89,700",0.000742
WATTS,348,"89,649",0.000742
DURAN,349,"89,401",0.000740
WALTERS,350,"89,376",0.000740
COHEN,351,"89,091",0.000737
MCDANIEL,352,"88,728",0.000734
MORAN,353,"88,615",0.000733
PARKS,354,"88,586",0.000733
STEELE,355,"88,230",0.000730
VAUGHN,356,"88,060",0.000729
BECKER,357,"87,859",0.000727
HOLT,358,"87,531",0.000724
DELEON,359,"87,414",0.000723
BARKER,360,"87,162",0.000721
TERRY,361,"87,000",0.000720
HALE,362,"86,618",0.000717
LEON,363,"86,363",0.000715
HAIL,364,"86,240",0.000714
BENSON,365,"86,081",0.000712
HAYNES,366,"85,974",0.000711
HORTON,367,"85,195",0.000705
MILES,368,"84,942",0.000703
LYONS,369,"84,516",0.000699
PHAM,370,"84,320",0.000698
GRAVES,371,"84,179",0.000697
BUSH,372,"84,018",0.000695
THORNTON,373,"83,967",0.000695
WOLFE,374,"83,928",0.000694
WARNER,375,"83,781",0.000693
CABRERA,376,"83,621",0.000692
MCKINNEY,377,"83,616",0.000692
MANN,378,"83,510",0.000691
ZIMMERMAN,379,"83,265",0.000689
DAWSON,380,"83,182",0.000688
LARA,381,"83,067",0.000687
FLETCHER,382,"83,063",0.000687
PAGE,383,"82,992",0.000687
MCCARTHY,384,"82,950",0.000686
LOVE,385,"82,873",0.000686
ROBLES,386,"82,458",0.000682
CERVANTES,387,"82,161",0.000680
SOLIS,388,"82,146",0.000680
ERICKSON,389,"82,085",0.000679
REEVES,390,"81,978",0.000678
CHANG,391,"81,939",0.000678
KLEIN,392,"81,471",0.000674
SALINAS,393,"81,156",0.000672
FUENTES,394,"81,006",0.000670
BALDWIN,395,"80,742",0.000668
DANIEL,396,"80,526",0.000666
SIMON,397,"80,460",0.000666
VELASQUEZ,398,"80,364",0.000665
HARDY,399,"80,252",0.000664
HIGGINS,400,"79,803",0.000660
AGUIRRE,401,"79,517",0.000658
LIN,402,"79,508",0.000658
CUMMINGS,403,"79,316",0.000656
CHANDLER,404,"79,186",0.000655
SHARP,405,"78,990",0.000654
BARBER,406,"78,848",0.000652
BOWEN,407,"78,822",0.000652
OCHOA,408,"78,677",0.000651
DENNIS,409,"78,482",0.000649
ROBBINS,410,"78,381",0.000649
LIU,411,"78,370",0.000648
RAMSEY,412,"78,350",0.000648
FRANCIS,413,"78,327",0.000648
GRIFFITH,414,"78,260",0.000648
PAUL,415,"78,256",0.000648
BLAIR,416,"78,026",0.000646
OCONNOR,417,"77,923",0.000645
CARDENAS,418,"77,652",0.000643
PACHECO,419,"77,642",0.000642
CROSS,420,"77,557",0.000642
